name,experience,sector,feedback,jurisdiction,charges,daysofdisposal,language,cityofpractice,probonoserviceprovided,clientdemographics,total_score
Adira Sha,18,"Medical Law, Corporate Law, and Human Rights Law",3,Specialized Court,492.9448905,95.39521272,"Urdu, Gujarati and Punjabi",Chennai,yes,Small Businesses,19.5
Kiaan Koshy,8,"Medical Law, Real Estate Law, and Immigration Law",2,Specialized Court,222.5665052,107.8061652,"Telugu, Tamil and Odia",Bangalore,yes,Individuals,13.5
Yashvi Sathe,1,"Intellectual Property Law, Civil Law, and Environmental Law",3,Specialized Court,118.5026963,75.52815394,"Tamil, Kannada and Hindi",Hyderabad,no,Individuals,13.5
Indrans Brar,11,"Media and Entertainment Law, Civil Law, and Media and Entertainment Law",2,Supreme Court,350.0189849,83.78054237,"Bengali, Punjabi and Tamil",Bangalore,yes,Large Corporations,18
Indrans Chaudhary,28,"Environmental Law, Consumer Protection Law, and Tax Law",5,High Court,177.9297301,79.13546199,"Gujarati, Urdu and Marathi",Chennai,yes,Small Businesses,25
Charvi Loke,25,"Human Rights Law, Consumer Protection Law, and Consumer Protection Law",3.004576659,Specialized Court,313.6002219,89.33090202,"Telugu, Tamil and Urdu",Kolkata,no,Large Corporations,25.5
Ayesha Sha,25,"Labor Law, Real Estate Law, and Media and Entertainment Law",3,Supreme Court,314.0455585,84.61562422,"Hindi, Marathi and Hindi",Chennai,yes,Small Businesses,26
Rasha Sarraf,18,"Criminal Law, Intellectual Property Law, and Labor Law",3,Supreme Court,250.5784194,100.9465941,"Kannada, Gujarati and Urdu",Delhi,yes,Individuals,22
Ehsaan Dhawan,23,"Consumer Protection Law, Consumer Protection Law, and Intellectual Property Law",2,Supreme Court,426.253377,76.03497433,"Kannada, Marathi and Hindi",Delhi,yes,Large Corporations,22
Siya Shetty,10,"Intellectual Property Law, Human Rights Law, and Consumer Protection Law",4,High Court,169.2351777,90.6454646,"Telugu, Tamil and Hindi",Bangalore,yes,Small Businesses,17
Mamooty Kumar,3,"Labor Law, Corporate Law, and Labor Law",5,Supreme Court,251.8846662,100.3028687,"Gujarati, Tamil and Kannada",Delhi,no,Small Businesses,20
Aniruddh Thaker,7,"Constitutional Law, Intellectual Property Law, and Constitutional Law",3,High Court,291.9614579,59.02045837,"Odia, Hindi and Bengali",Hyderabad,yes,Individuals,13
Dhanuk Chaudry,28,"Environmental Law, Consumer Protection Law, and Constitutional Law",4,District Court,348.6311243,121.8244696,"Kannada, Hindi and Punjabi",Chennai,no,Individuals,20.5
Lavanya Thaman,16,"Intellectual Property Law, Family Law, and Criminal Law",5,Supreme Court,402.7873327,85.75272173,"Telugu, Telugu and Urdu",Bangalore,yes,Small Businesses,26
Vritika Bhatti,26,"Corporate Law, Constitutional Law, and Human Rights Law",5,Specialized Court,227.6632773,59.62440129,"Bengali, Malayalam and Urdu",Chennai,yes,Individuals,27.5
Vritika Wable,16,"Constitutional Law, Family Law, and Labor Law",2.858744395,Supreme Court,340.7211248,89.76723953,"Punjabi, Telugu and Urdu",Chennai,yes,Individuals,22
Miraan Sem,25,"Labor Law, Environmental Law, and Intellectual Property Law",3,District Court,117.7749289,90.50165202,"Gujarati, Bengali and Kannada",Bangalore,no,Large Corporations,18.5
Aarush Kota,20,"Criminal Law, Civil Law, and Media and Entertainment Law",2,District Court,469.6916452,88.77158431,"Gujarati, Assamese and Marathi",Kolkata,yes,Small Businesses,14.5
Myra Shetty,28,"Consumer Protection Law, Labor Law, and Labor Law",4,Supreme Court,222.3764629,104.8678667,"Odia, Bengali and Telugu",Delhi,no,Large Corporations,28
Anahita Kade,17,"Labor Law, Criminal Law, and Corporate Law",4,District Court,378.2846399,101.2116746,"Tamil, Urdu and Urdu",Mumbai,yes,Individuals,16.5
Misha Char,2,"Banking and Finance Law, Constitutional Law, and Consumer Protection Law",3,High Court,59.15348685,94.46814287,"Marathi, Hindi and Marathi",Mumbai,yes,Small Businesses,11
Parinaaz Golla,1,"Media and Entertainment Law, Civil Law, and Corporate Law",5,High Court,142.3342143,96.75233451,"Kannada, Urdu and Bengali",Mumbai,no,Individuals,15
Divit Manne,16,"Medical Law, Intellectual Property Law, and Intellectual Property Law",3,Supreme Court,269.1871449,88.43462326,"Marathi, Tamil and Urdu",Delhi,yes,Individuals,22
Anya Balan,12,"Media and Entertainment Law, Intellectual Property Law, and Labor Law",5,High Court,445.2136105,116.6323627,"Marathi, Urdu and Punjabi",Kolkata,yes,Small Businesses,19
Tarini Yohannan,5,"Intellectual Property Law, Intellectual Property Law, and Civil Law",5,High Court,287.2648175,67.81205972,"Assamese, Tamil and Tamil",Chennai,yes,Individuals,17
Arhaan Ganguly,5,"Intellectual Property Law, Labor Law, and Banking and Finance Law",3.004576659,Specialized Court,468.441717,89.33090202,"Assamese, Gujarati and Malayalam",Bangalore,no,Large Corporations,17.5
Eshani Grewal,27,"Consumer Protection Law, Family Law, and Human Rights Law",1,Supreme Court,267.7086035,90.97536947,"Bengali, Hindi and Odia",Kolkata,yes,Small Businesses,22
Ranbir Balakrishnan,23,"Real Estate Law, Criminal Law, and Corporate Law",4,District Court,270.7020935,102.1992061,"Hindi, Telugu and Malayalam",Mumbai,yes,Individuals,18.5
Indrajit Dhar,9,"Criminal Law, Human Rights Law, and Corporate Law",5,Supreme Court,103.8860548,77.34219184,"Marathi, Urdu and Urdu",Hyderabad,yes,Individuals,22
Lavanya Karnik,9,"Tax Law, Consumer Protection Law, and Family Law",5,High Court,411.1953099,63.84491096,"Gujarati, Hindi and Telugu",Delhi,no,Individuals,17
Shaan Dugar,3,"Constitutional Law, Intellectual Property Law, and Labor Law",1,Specialized Court,161.1344356,92.35234524,"Assamese, Malayalam and Malayalam",Delhi,yes,Small Businesses,9.5
Tushar Bhakta,19,"Media and Entertainment Law, Tax Law, and Human Rights Law",2,Supreme Court,454.8256202,94.21845738,"Odia, Malayalam and Tamil",Bangalore,no,Large Corporations,20
Uthkarsh Singh,16,"Family Law, Environmental Law, and Medical Law",1,Supreme Court,459.8708991,112.3439911,"Odia, Gujarati and Punjabi",Hyderabad,yes,Individuals,18
Kiaan Shenoy,16,"Consumer Protection Law, Constitutional Law, and Corporate Law",1,High Court,474.4895503,70.94456931,"Assamese, Marathi and Kannada",Chennai,yes,Individuals,13
Aayush Singhal,3,"Criminal Law, Corporate Law, and Environmental Law",5,High Court,284.1037201,107.3204065,"Punjabi, Telugu and Odia",Kolkata,no,Individuals,15
Adira Sastry,20,"Family Law, Consumer Protection Law, and Immigration Law",2.858744395,Supreme Court,354.6922032,89.76723953,"Hindi, Punjabi and Kannada",Hyderabad,no,Small Businesses,24
Saira Chander,24,"Criminal Law, Tax Law, and Banking and Finance Law",1,High Court,400.332146,84.33352669,"Tamil, Odia and Telugu",Kolkata,no,Individuals,15
Dharmajan Chana,22,"Criminal Law, Criminal Law, and Banking and Finance Law",2,High Court,108.9565784,70.63586671,"Gujarati, Hindi and Odia",Kolkata,no,Individuals,17
Rhea Chakraborty,24,"Labor Law, Labor Law, and Labor Law",3,High Court,320.4307377,83.8953845,"Gujarati, Kannada and Telugu",Chennai,no,Individuals,19
Vihaan Sharaf,1,"Human Rights Law, Human Rights Law, and Constitutional Law",1,High Court,65.43405559,90.21007451,"Punjabi, Hindi and Kannada",Chennai,yes,Small Businesses,7
Himmat Tripathi,24,"Banking and Finance Law, Human Rights Law, and Family Law",1,High Court,273.9047375,98.45681813,"Urdu, Tamil and Punjabi",Chennai,yes,Large Corporations,15
Tanya Mander,20,"Criminal Law, Criminal Law, and Corporate Law",2,Specialized Court,119.6792067,81.12907905,"Malayalam, Punjabi and Odia",Bangalore,no,Small Businesses,19.5
Adira Krishnan,11,"Human Rights Law, Corporate Law, and Media and Entertainment Law",4,High Court,132.3153167,113.327978,"Punjabi, Kannada and Gujarati",Delhi,yes,Large Corporations,17
Anya Gopal,17,"Real Estate Law, Constitutional Law, and Media and Entertainment Law",1,District Court,214.271405,73.28201527,"Marathi, Urdu and Marathi",Mumbai,yes,Large Corporations,10.5
Anahita Tripathi,8,"Tax Law, Banking and Finance Law, and Family Law",1,Supreme Court,244.596725,63.91192272,"Telugu, Gujarati and Punjabi",Chennai,no,Small Businesses,14
Veer Bal,4,"Intellectual Property Law, Corporate Law, and Media and Entertainment Law",3.004576659,Specialized Court,330.427591,89.33090202,"Assamese, Malayalam and Odia",Delhi,no,Individuals,15.5
Samaira Shanker,6,"Civil Law, Media and Entertainment Law, and Constitutional Law",2,Specialized Court,83.4927883,55.88068453,"Odia, Kannada and Telugu",Chennai,no,Large Corporations,13.5
Jivin Khare,8,"Family Law, Human Rights Law, and Intellectual Property Law",1,High Court,276.6612926,86.93805347,"Assamese, Urdu and Telugu",Mumbai,yes,Individuals,9
Gatik Dubey,20,"Intellectual Property Law, Real Estate Law, and Intellectual Property Law",4,Supreme Court,132.1813086,136.7652169,"Punjabi, Malayalam and Bengali",Hyderabad,no,Large Corporations,26
Zoya Sant,3,"Civil Law, Constitutional Law, and Consumer Protection Law",1,District Court,308.2888288,89.81934671,"Marathi, Urdu and Punjabi",Chennai,yes,Individuals,4.5
Shamik Tripathi,16,"Tax Law, Criminal Law, and Medical Law",3,High Court,336.8320755,73.18848524,"Kannada, Malayalam and Telugu",Delhi,no,Individuals,17
Kaira Chana,25,"Banking and Finance Law, Human Rights Law, and Labor Law",5,Supreme Court,300.5191654,89.13903804,"Hindi, Urdu and Hindi",Bangalore,no,Small Businesses,30
Jayesh Dugar,3,"Tax Law, Human Rights Law, and Constitutional Law",3,High Court,382.2329797,89.23798817,"Gujarati, Tamil and Marathi",Hyderabad,no,Individuals,11
Ishaan Rattan,25,"Family Law, Intellectual Property Law, and Real Estate Law",1,High Court,201.0241599,92.40974911,"Assamese, Kannada and Kannada",Hyderabad,no,Large Corporations,17
Suhana Goyal,29,"Medical Law, Criminal Law, and Medical Law",2,High Court,394.2979662,99.93394473,"Urdu, Bengali and Tamil",Hyderabad,yes,Individuals,19
Jayan Kata,18,"Family Law, Banking and Finance Law, and Consumer Protection Law",3.085416667,High Court,244.7451868,91.07675778,"Assamese, Gujarati and Bengali",Mumbai,yes,Individuals,19
Uthkarsh Ghosh,14,"Tax Law, Criminal Law, and Real Estate Law",3,High Court,267.8830242,115.3132208,"Hindi, Marathi and Telugu",Delhi,yes,Individuals,15
Ahana  Kata,18,"Civil Law, Banking and Finance Law, and Labor Law",4,High Court,341.6459573,93.67671427,"Marathi, Hindi and Hindi",Kolkata,no,Large Corporations,19
Hiran Dada,2,"Consumer Protection Law, Constitutional Law, and Criminal Law",2,High Court,58.2612728,100.9019107,"Assamese, Tamil and Bengali",Kolkata,yes,Large Corporations,9
Ishita Bains,22,"Criminal Law, Environmental Law, and Human Rights Law",3,District Court,344.2973996,80.577759,"Tamil, Telugu and Hindi",Kolkata,yes,Large Corporations,16.5
Dhruv Dayal,3,"Constitutional Law, Real Estate Law, and Family Law",4,Specialized Court,328.3633171,109.2957321,"Malayalam, Marathi and Bengali",Bangalore,yes,Individuals,15.5
Zaina Tripathi,16,"Environmental Law, Consumer Protection Law, and Family Law",1,District Court,189.4312025,86.14421387,"Kannada, Gujarati and Telugu",Chennai,no,Small Businesses,10.5
Samarth Sodhi,29,"Human Rights Law, Criminal Law, and Human Rights Law",4,High Court,88.6074282,94.1632877,"Marathi, Tamil and Hindi",Chennai,yes,Large Corporations,23
Himmat Lad,9,"Corporate Law, Tax Law, and Human Rights Law",3,High Court,90.92095246,76.00340884,"Telugu, Marathi and Malayalam",Chennai,no,Individuals,13
Rasha Devi,4,"Environmental Law, Civil Law, and Intellectual Property Law",3,District Court,465.4506861,75.0460256,"Bengali, Hindi and Odia",Bangalore,no,Large Corporations,8.5
Lavanya Sethi,1,"Intellectual Property Law, Immigration Law, and Medical Law",2.967963387,District Court,360.1756946,90.24561363,"Marathi, Urdu and Punjabi",Kolkata,no,Small Businesses,8.5
Seher Tata,4,"Labor Law, Immigration Law, and Real Estate Law",4,Specialized Court,107.1961762,83.34589755,"Malayalam, Malayalam and Tamil",Hyderabad,yes,Individuals,15.5
Eshani Andra,1,"Intellectual Property Law, Criminal Law, and Media and Entertainment Law",4,District Court,210.5254262,77.19265369,"Punjabi, Punjabi and Kannada",Chennai,no,Large Corporations,10.5
Arnav Bahl,14,"Labor Law, Media and Entertainment Law, and Human Rights Law",1,Specialized Court,316.6173473,80.35224987,"Marathi, Urdu and Tamil",Hyderabad,no,Large Corporations,13.5
Lagan Jhaveri,21,"Civil Law, Banking and Finance Law, and Environmental Law",4,High Court,426.0072673,100.4842961,"Punjabi, Gujarati and Kannada",Hyderabad,no,Small Businesses,21
Aaryahi Devan,16,"Medical Law, Tax Law, and Tax Law",1,Supreme Court,69.64741792,80.56443208,"Tamil, Hindi and Gujarati",Bangalore,yes,Large Corporations,18
Indrans Venkataraman,20,"Media and Entertainment Law, Environmental Law, and Human Rights Law",2,Supreme Court,156.4849092,88.23517603,"Gujarati, Marathi and Assamese",Bangalore,no,Individuals,22
Rania Salvi,24,"Labor Law, Intellectual Property Law, and Corporate Law",3,Supreme Court,450.3870456,90.22541625,"Odia, Assamese and Marathi",Delhi,no,Individuals,24
Jivin Mangal,8,"Family Law, Banking and Finance Law, and Corporate Law",2,Supreme Court,54.12449758,61.23976671,"Bengali, Odia and Gujarati",Chennai,no,Small Businesses,16
Shamik Mahal,7,"Consumer Protection Law, Labor Law, and Corporate Law",5,High Court,140.6295963,67.93310392,"Tamil, Assamese and Urdu",Kolkata,yes,Small Businesses,17
Indranil Sidhu,3,"Constitutional Law, Labor Law, and Intellectual Property Law",2.858744395,Supreme Court,481.5608792,89.76723953,"Malayalam, Punjabi and Telugu",Mumbai,no,Small Businesses,16
Pihu Dutt,17,"Constitutional Law, Constitutional Law, and Banking and Finance Law",5,District Court,326.0308309,78.94455958,"Punjabi, Urdu and Odia",Bangalore,no,Individuals,18.5
Vanya Tandon,1,"Family Law, Immigration Law, and Media and Entertainment Law",1,District Court,167.752115,105.8508737,"Odia, Bengali and Assamese",Hyderabad,no,Small Businesses,4.5
Advik Jhaveri,16,"Consumer Protection Law, Criminal Law, and Constitutional Law",4,Supreme Court,80.14599248,104.5021066,"Assamese, Marathi and Punjabi",Delhi,no,Large Corporations,24
Taran Zacharia,12,"Banking and Finance Law, Labor Law, and Environmental Law",2,District Court,62.6861032,100.78753,"Telugu, Urdu and Odia",Mumbai,no,Large Corporations,10.5
Mannat Dada,27,"Real Estate Law, Criminal Law, and Civil Law",2,Specialized Court,160.1352858,117.2965768,"Hindi, Marathi and Tamil",Bangalore,yes,Individuals,21.5
Nakul Chana,19,"Banking and Finance Law, Constitutional Law, and Banking and Finance Law",2,High Court,446.6686188,88.75366008,"Bengali, Punjabi and Kannada",Delhi,yes,Large Corporations,15
Ishaan Soni,22,"Medical Law, Immigration Law, and Real Estate Law",2,Supreme Court,237.1611444,99.73322889,"Urdu, Gujarati and Gujarati",Hyderabad,no,Small Businesses,22
Dharmajan Mand,23,"Environmental Law, Corporate Law, and Environmental Law",5,Supreme Court,374.1500161,81.23398535,"Tamil, Assamese and Odia",Chennai,no,Large Corporations,28
Advika Tata,22,"Medical Law, Environmental Law, and Consumer Protection Law",2,High Court,463.2282659,126.7855487,"Hindi, Telugu and Gujarati",Delhi,no,Small Businesses,17
Ehsaan Varma,14,"Civil Law, Civil Law, and Real Estate Law",2.967963387,District Court,233.6182077,90.24561363,"Hindi, Urdu and Marathi",Bangalore,no,Large Corporations,12.5
Zain Saini,6,"Environmental Law, Civil Law, and Environmental Law",5,High Court,136.074817,90.17820652,"Malayalam, Assamese and Marathi",Chennai,no,Individuals,17
Vihaan Rau,6,"Real Estate Law, Labor Law, and Tax Law",2,High Court,282.7030689,95.79879345,"Marathi, Marathi and Malayalam",Hyderabad,no,Small Businesses,11
Anay Bajaj,13,"Media and Entertainment Law, Civil Law, and Medical Law",1,District Court,458.6376592,110.389464,"Assamese, Telugu and Kannada",Kolkata,yes,Large Corporations,8.5
Jayant Gandhi,19,"Real Estate Law, Human Rights Law, and Environmental Law",3,High Court,411.9684864,87.79290743,"Marathi, Assamese and Urdu",Delhi,no,Individuals,17
Zoya Mann,22,"Intellectual Property Law, Media and Entertainment Law, and Media and Entertainment Law",3,District Court,79.62342951,80.15063894,"Urdu, Telugu and Odia",Mumbai,no,Large Corporations,16.5
Rania Sahota,8,"Tax Law, Environmental Law, and Environmental Law",3,District Court,361.65776,103.1098463,"Urdu, Bengali and Punjabi",Hyderabad,yes,Individuals,10.5
Dhruv Kurian,27,"Intellectual Property Law, Banking and Finance Law, and Banking and Finance Law",5,High Court,307.3538851,91.17658869,"Punjabi, Malayalam and Gujarati",Chennai,yes,Large Corporations,25
Himmat Sharaf,27,"Tax Law, Corporate Law, and Environmental Law",2,Specialized Court,458.3584294,92.74491674,"Urdu, Telugu and Gujarati",Hyderabad,yes,Small Businesses,21.5
Ela Iyer,2,"Medical Law, Environmental Law, and Family Law",5,District Court,105.1166376,77.48592985,"Hindi, Assamese and Marathi",Chennai,yes,Small Businesses,12.5
Jayan Sha,21,"Corporate Law, Human Rights Law, and Banking and Finance Law",3.085416667,High Court,290.3162509,91.07675778,"Punjabi, Punjabi and Telugu",Hyderabad,no,Small Businesses,21
Amani Lal,1,"Medical Law, Medical Law, and Media and Entertainment Law",1,District Court,445.7582121,93.54213615,"Odia, Hindi and Kannada",Kolkata,yes,Small Businesses,4.5
Bhamini Gera,28,"Labor Law, Banking and Finance Law, and Criminal Law",1,Specialized Court,234.510704,103.5744306,"Malayalam, Telugu and Gujarati",Delhi,yes,Small Businesses,19.5
Miraya Chacko,15,"Consumer Protection Law, Human Rights Law, and Labor Law",3,Specialized Court,266.897713,86.61289876,"Gujarati, Odia and Marathi",Mumbai,yes,Large Corporations,19.5
Lagan Yadav,1,"Tax Law, Criminal Law, and Consumer Protection Law",3,Supreme Court,81.70730495,111.5464428,"Gujarati, Marathi and Marathi",Kolkata,no,Large Corporations,16
Rasha Vaidya,5,"Banking and Finance Law, Constitutional Law, and Medical Law",3,District Court,175.1646382,79.44125512,"Malayalam, Telugu and Hindi",Delhi,no,Large Corporations,10.5
Anahi Sule,28,"Environmental Law, Consumer Protection Law, and Consumer Protection Law",2,District Court,196.0279921,74.17943318,"Gujarati, Kannada and Malayalam",Mumbai,no,Large Corporations,16.5
Rasha Sem,29,"Family Law, Corporate Law, and Family Law",4,High Court,475.3051019,88.99154539,"Bengali, Hindi and Gujarati",Hyderabad,yes,Small Businesses,23
Diya Yogi,16,"Intellectual Property Law, Consumer Protection Law, and Human Rights Law",4,District Court,177.2003122,88.76111137,"Bengali, Tamil and Hindi",Mumbai,no,Individuals,16.5
Tushar Lata,19,"Consumer Protection Law, Constitutional Law, and Constitutional Law",4,Supreme Court,257.3909309,101.549531,"Urdu, Hindi and Punjabi",Bangalore,yes,Small Businesses,24
Kartik Wali,4,"Civil Law, Constitutional Law, and Medical Law",3.004576659,Specialized Court,352.0869906,89.33090202,"Gujarati, Gujarati and Punjabi",Mumbai,no,Large Corporations,15.5
Kimaya Wable,3,"Consumer Protection Law, Human Rights Law, and Media and Entertainment Law",3,Specialized Court,122.9825176,110.5214136,"Telugu, Tamil and Marathi",Delhi,yes,Small Businesses,13.5
Tanya Banik,17,"Human Rights Law, Immigration Law, and Labor Law",1,Supreme Court,268.8990742,119.5037544,"Marathi, Bengali and Malayalam",Kolkata,yes,Small Businesses,18
Anahita Krishna,17,"Labor Law, Human Rights Law, and Real Estate Law",3,District Court,382.3425678,89.4128396,"Assamese, Assamese and Telugu",Kolkata,no,Small Businesses,14.5
Tara Kaul,12,"Human Rights Law, Consumer Protection Law, and Constitutional Law",4,District Court,440.0848459,108.7456563,"Telugu, Hindi and Malayalam",Bangalore,no,Individuals,14.5
Anahi Bakshi,28,"Corporate Law, Human Rights Law, and Labor Law",3,Supreme Court,331.8166736,74.15254394,"Gujarati, Malayalam and Telugu",Delhi,no,Small Businesses,26
Pranay Dutta,29,"Tax Law, Media and Entertainment Law, and Tax Law",4,High Court,351.0740819,106.1283231,"Gujarati, Gujarati and Assamese",Mumbai,no,Small Businesses,23
Sumer Kaur,14,"Corporate Law, Criminal Law, and Tax Law",5,Specialized Court,106.8275627,105.7091461,"Marathi, Assamese and Hindi",Bangalore,yes,Individuals,21.5
Jivin Korpal,21,"Civil Law, Human Rights Law, and Immigration Law",1,Supreme Court,475.5994238,102.9515592,"Gujarati, Hindi and Marathi",Hyderabad,yes,Small Businesses,20
Emir Kapadia,6,"Banking and Finance Law, Tax Law, and Media and Entertainment Law",5,Supreme Court,109.6583349,89.76655367,"Tamil, Telugu and Hindi",Chennai,yes,Small Businesses,22
Samaira Yadav,3,"Real Estate Law, Civil Law, and Human Rights Law",2.967963387,District Court,398.6028217,90.24561363,"Hindi, Malayalam and Kannada",Hyderabad,yes,Small Businesses,8.5
Faiyaz Kalita,28,"Human Rights Law, Consumer Protection Law, and Banking and Finance Law",3,Specialized Court,169.1673448,80.37409285,"Punjabi, Urdu and Hindi",Delhi,yes,Small Businesses,23.5
Shamik Yogi,9,"Constitutional Law, Tax Law, and Civil Law",2,District Court,470.1169147,80.61125973,"Marathi, Urdu and Assamese",Bangalore,no,Small Businesses,8.5
Seher Sarma,5,"Human Rights Law, Immigration Law, and Media and Entertainment Law",3,Supreme Court,373.9817927,75.32617593,"Gujarati, Gujarati and Urdu",Kolkata,no,Large Corporations,18
Kiaan Dutt,24,"Civil Law, Constitutional Law, and Tax Law",5,High Court,389.2161708,91.83364507,"Bengali, Malayalam and Gujarati",Bangalore,yes,Small Businesses,23
Vivaan Vora,29,"Immigration Law, Labor Law, and Real Estate Law",4,Specialized Court,148.5766279,83.71554832,"Bengali, Malayalam and Punjabi",Chennai,yes,Individuals,25.5
Kimaya Tara,17,"Civil Law, Environmental Law, and Criminal Law",4,Supreme Court,249.3679895,77.63081985,"Hindi, Hindi and Assamese",Delhi,no,Small Businesses,24
Ehsaan Chhabra,14,"Media and Entertainment Law, Banking and Finance Law, and Corporate Law",3,Supreme Court,328.0159376,74.11799778,"Bengali, Gujarati and Bengali",Bangalore,no,Large Corporations,20
Saksham Dubey,21,"Corporate Law, Civil Law, and Immigration Law",4,High Court,396.4881282,79.26730522,"Punjabi, Bengali and Marathi",Hyderabad,yes,Individuals,21
Raghav Rege,3,"Consumer Protection Law, Banking and Finance Law, and Corporate Law",5,Supreme Court,96.78171916,106.8224882,"Kannada, Urdu and Malayalam",Mumbai,no,Individuals,20
Himmat Gala,28,"Family Law, Human Rights Law, and Media and Entertainment Law",2.858744395,Supreme Court,483.0643924,89.76723953,"Malayalam, Kannada and Telugu",Hyderabad,no,Small Businesses,26
Yuvaan Tak,1,"Intellectual Property Law, Medical Law, and Consumer Protection Law",5,Specialized Court,450.5993017,82.2759194,"Kannada, Tamil and Odia",Delhi,yes,Large Corporations,17.5
Ela Bakshi,20,"Family Law, Civil Law, and Human Rights Law",2,Specialized Court,171.6568657,83.14953577,"Kannada, Punjabi and Gujarati",Bangalore,yes,Small Businesses,19.5
Yasmin Ganesh,29,"Corporate Law, Criminal Law, and Environmental Law",5,Specialized Court,420.2421094,95.08490271,"Hindi, Telugu and Bengali",Hyderabad,no,Large Corporations,27.5
Damini Bhatti,21,"Intellectual Property Law, Medical Law, and Civil Law",1,District Court,283.2457654,96.84374233,"Hindi, Malayalam and Malayalam",Bangalore,no,Large Corporations,12.5
Anaya Sundaram,23,"Immigration Law, Real Estate Law, and Consumer Protection Law",1,High Court,257.8129167,44.33015191,"Assamese, Kannada and Assamese",Hyderabad,yes,Small Businesses,15
Dhanuk Mann,1,"Media and Entertainment Law, Family Law, and Labor Law",1,Specialized Court,191.4953476,105.3245282,"Punjabi, Kannada and Urdu",Delhi,no,Large Corporations,9.5
Diya Venkatesh,3,"Constitutional Law, Family Law, and Medical Law",3,District Court,311.435864,111.5455205,"Marathi, Marathi and Odia",Kolkata,no,Small Businesses,8.5
Ishita Bhagat,18,"Labor Law, Family Law, and Consumer Protection Law",3,District Court,378.450103,74.24720194,"Urdu, Kannada and Assamese",Hyderabad,no,Large Corporations,14.5
Anya Ranganathan,25,"Environmental Law, Real Estate Law, and Intellectual Property Law",3,High Court,234.9198072,75.41552633,"Kannada, Tamil and Telugu",Mumbai,yes,Individuals,21
Samarth Sami,10,"Corporate Law, Banking and Finance Law, and Human Rights Law",3.085416667,High Court,333.1486369,91.07675778,"Bengali, Malayalam and Malayalam",Hyderabad,no,Small Businesses,17
Mishti Handa,22,"Consumer Protection Law, Criminal Law, and Tax Law",3,Supreme Court,364.6908145,78.65993971,"Telugu, Tamil and Urdu",Delhi,no,Large Corporations,24
Vidur Dani,26,"Tax Law, Medical Law, and Criminal Law",2,District Court,370.0048177,93.35890311,"Urdu, Telugu and Telugu",Hyderabad,yes,Individuals,16.5
Gatik Ratti,3,"Corporate Law, Real Estate Law, and Media and Entertainment Law",1,Specialized Court,73.38474416,60.8021207,"Punjabi, Gujarati and Telugu",Mumbai,yes,Individuals,9.5
Samar Garde,8,"Corporate Law, Family Law, and Civil Law",5,High Court,436.8865126,73.23108588,"Marathi, Malayalam and Marathi",Mumbai,no,Individuals,17
Darshit Kant,14,"Human Rights Law, Immigration Law, and Medical Law",1,District Court,256.2139916,113.087958,"Assamese, Malayalam and Odia",Delhi,yes,Individuals,8.5
Kavya Garde,24,"Human Rights Law, Corporate Law, and Corporate Law",3,Specialized Court,168.0872368,76.07670049,"Bengali, Odia and Malayalam",Bangalore,yes,Small Businesses,21.5
Neysa Chadha,18,"Intellectual Property Law, Medical Law, and Immigration Law",5,District Court,158.7940284,108.6514242,"Gujarati, Odia and Kannada",Hyderabad,no,Large Corporations,18.5
Saanvi Deep,15,"Medical Law, Consumer Protection Law, and Media and Entertainment Law",4,High Court,267.3563508,95.33007293,"Marathi, Hindi and Hindi",Kolkata,yes,Individuals,19
Kartik Ramakrishnan,22,"Medical Law, Constitutional Law, and Tax Law",2,Supreme Court,449.0741928,62.86098428,"Kannada, Hindi and Assamese",Mumbai,no,Large Corporations,22
Sana Chauhan,23,"Criminal Law, Real Estate Law, and Real Estate Law",2.967963387,District Court,220.2564118,90.24561363,"Kannada, Punjabi and Malayalam",Mumbai,no,Large Corporations,16.5
Taran Luthra,2,"Civil Law, Criminal Law, and Tax Law",3,Specialized Court,387.3765861,88.23499047,"Gujarati, Assamese and Hindi",Hyderabad,yes,Large Corporations,13.5
Jivin Zacharia,27,"Consumer Protection Law, Criminal Law, and Immigration Law",2,High Court,93.56842894,83.16799416,"Punjabi, Assamese and Gujarati",Bangalore,no,Small Businesses,19
Kavya Jha,10,"Criminal Law, Consumer Protection Law, and Immigration Law",2,Supreme Court,264.225516,93.6743564,"Odia, Malayalam and Telugu",Hyderabad,no,Small Businesses,18
Damini Krishna,2,"Banking and Finance Law, Tax Law, and Intellectual Property Law",4,Specialized Court,496.2587632,97.11950228,"Marathi, Tamil and Malayalam",Delhi,no,Individuals,15.5
Divit Borra,26,"Immigration Law, Corporate Law, and Banking and Finance Law",3,Specialized Court,396.6970113,100.6138773,"Gujarati, Hindi and Gujarati",Kolkata,no,Large Corporations,23.5
Piya Ranganathan,17,"Medical Law, Medical Law, and Tax Law",3,Specialized Court,144.7378198,107.6737927,"Punjabi, Marathi and Odia",Hyderabad,no,Small Businesses,19.5
Damini Badal,8,"Tax Law, Labor Law, and Consumer Protection Law",1,District Court,275.6486632,96.12203869,"Punjabi, Assamese and Telugu",Mumbai,yes,Small Businesses,6.5
Aarav Mangat,1,"Human Rights Law, Civil Law, and Tax Law",5,High Court,155.1311436,69.36548867,"Assamese, Hindi and Telugu",Mumbai,yes,Small Businesses,15
